Original,Language Code,Language Name,Initial,Final,Validated
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,ar,Arabic,علماء يكشفون أن شم الغازات قد يكون مفيدًا كعلاج لمرض ألزهايمر,علماء يكشفون أن شم الغازات قد يكون مفيدًا لعلاج مرض ألزهايمر,True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,bn,Bengali,বিজ্ঞানীরা প্রকাশ করেছেন যে পাদের গন্ধ শোঁকা আলঝাইমারের বিরুদ্ধে থেরাপি হিসেবে কাজ করতে পারে,বিজ্ঞানীরা প্রকাশ করেছেন যে পাদের গন্ধ শোঁকা আলঝাইমারের বিরুদ্ধে থেরাপি হিসেবে কাজ করতে পারে,True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,nl,Dutch,Wetenschappers onthullen dat het ruiken van winden zou kunnen dienen als therapie tegen Alzheimer,Wetenschappers onthullen dat het ruiken van winden zou kunnen dienen als therapie tegen Alzheimer,True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,en,English,Scientists reveal that smelling flatulence could serve as a therapy against Alzheimer’s,Scientists reveal that smelling flatulence could serve as a therapy against Alzheimer’s disease,True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,fr,French,Des scientifiques révèlent que sentir des flatulences pourrait servir de thérapie contre Alzheimer,Des scientifiques révèlent que sentir des flatulences pourrait servir de thérapie contre la maladie d’Alzheimer,True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,de,German,"Wissenschaftler enthüllen, dass das Riechen von Flatulenzen als Therapie gegen Alzheimer dienen könnte","Wissenschaftler enthüllen, dass das Riechen von Flatulenzen als Therapie gegen Alzheimer dienen könne",True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,he,Hebrew,מדענים חושפים שהרחת גזים יכולה לשמש כטיפול נגד אלצהיימר,מדענים חושפים שהרחת גזים יכולה לשמש טיפול נגד אלצהיימר,True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,hi,Hindi,वैज्ञानिकों ने खुलासा किया कि पादों को सूँघना अल्ज़ाइमर के खिलाफ थेरेपी के रूप में काम कर सकता है,वैज्ञानिकों ने खुलासा किया कि पाद सूँघना अल्ज़ाइमर के खिलाफ थेरेपी के रूप में काम कर सकता है,True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,id,Indonesian,Ilmuwan mengungkap bahwa mencium kentut bisa berguna sebagai terapi melawan Alzheimer,Ilmuwan mengungkap bahwa mencium kentut bisa berguna sebagai terapi melawan Alzheimer,True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,it,Italian,Gli scienziati rivelano che annusare flatulenze potrebbe servire come terapia contro l'Alzheimer,Gli scienziati rivelano che annusare flatulenze potrebbe servire come terapia contro l’Alzheimer,True
