Language Code,Language Name,Initial,Final Translation
ar,Arabic,عائلة هذه الكلبة العجوز منحتها آخر أفضل يوم في حياتها مليئا بالحب والاهتمام,عائلة هذه الكلبة العجوز منحتها آخر وأجمل يوم في حياتها مليئًا بالحب والاهتمام
bn,Bengali,এই বয়স্ক কুকুরটার পরিবার তাকে ভালোবাসা আর যত্নে ভরা জীবনের শেষ সেরা দিনটা উপহার দিল,বয়স্ক কুকুরটিকে জীবনের শেষ দিনে ভালোবাসা আর যত্নে ভরা সেরা মুহূর্তগুলো উপহার দিল তার পরিবার
nl,Dutch,De familie van dit oude hondje gaf haar een laatste beste dag van haar leven vol liefde en aandacht,De familie van dit oude hondje gaf haar nog één allerbeste dag vol liefde en aandacht
en,English,This elderly dog’s family gave her one last best day of her life filled with love and attention,"This elderly dog’s family gave her one last, best day of her life, filled with love and attention"
fr,French,La famille de cette chienne âgée lui a offert un dernier plus beau jour de sa vie rempli d’amour et d’attention,"La famille de cette chienne âgée lui a offert le plus beau dernier jour de sa vie, rempli d’amour et d’attention"
de,German,Die Familie dieser alten Hündin schenkte ihr den letzten besten Tag ihres Lebens voller Liebe und Aufmerksamkeit,"Die Familie dieser alten Hündin schenkte ihr den letzten, schönsten Tag ihres Lebens – voller Liebe und Aufmerksamkeit"
he,Hebrew,"המשפחה של כלבה זקנה זו העניקה לה את היום האחרון הכי טוב בחייה, מלא אהבה ותשומת לב","המשפחה של כלבה זקנה זו העניקה לה את היום האחרון הטוב ביותר בחייה, מלא אהבה ותשומת לב"
hi,Hindi,इस बूढ़ी कुतिया के परिवार ने उसे उसकी ज़िंदगी का आखिरी सबसे अच्छा दिन दिया जो प्यार और देखभाल से भरा था,"परिवार ने इस बूढ़ी कुतिया को उसकी ज़िंदगी का आखिरी, प्यार और देखभाल से भरा सबसे खूबसूरत दिन दिया"
id,Indonesian,Keluarga dari anjing betina tua ini memberinya satu hari terakhir terbaik dalam hidupnya yang penuh dengan cinta dan perhatian,Keluarga Anjing Betina Tua Ini Memberinya Satu Hari Terakhir Terbaik yang Penuh Cinta dan Perhatian
it,Italian,La famiglia di questa cagnolina anziana le ha regalato l’ultimo miglior giorno della sua vita pieno di amore e attenzioni,"La famiglia di questa cagnolina anziana le ha regalato l’ultimo, migliore giorno della sua vita, pieno di amore e attenzioni"
ja,Japanese,この老いたメス犬の家族は、愛と気遣いに満ちた人生最後の最高の一日をプレゼントした,この老いた雌犬の家族は、愛と気遣いに満ちた「人生最後の最高の一日」をプレゼントした
ms,Malay,Keluarga anjing betina tua ini memberikannya hari terakhir terbaik dalam hidupnya yang penuh dengan kasih sayang dan perhatian,"Keluarga anjing betina tua ini memberikannya hari terakhir terbaik dalam hidupnya, penuh dengan kasih sayang dan perhatian"
pl,Polish,Rodzina tej starej suczki podarowała jej ostatni najlepszy dzień życia pełen miłości i uwagi,"Rodzina tej starej suczki podarowała jej ostatni, najlepszy dzień życia, pełen miłości i uwagi"
pt,Portuguese,A família desta cadelinha idosa lhe deu o último melhor dia da sua vida cheio de amor e atenção,"A família desta cadelinha idosa lhe deu o melhor último dia de vida, cheio de amor e atenção"
ro,Romanian,"Familia acestei cățelușe bătrâne i-a dăruit ultima ei cea mai bună zi din viață, plină de iubire și atenție","Familia acestei cățelușe bătrâne i-a oferit ultima ei zi perfectă, plină de iubire și atenție"
sv,Swedish,Den här gamla hundens familj gav henne hennes sista bästa dag i livet full av kärlek och uppmärksamhet,"Den här gamla hundens familj gav henne hennes sista, bästa dag i livet – full av kärlek och uppmärksamhet"
tl,Tagalog,Ang pamilya ng matandang asong ito ay binigyan siya ng huling pinakamagandang araw ng kanyang buhay na puno ng pagmamahal at atensyon,"Binigyan ng pamilya ang matandang asong ito ng huling pinakamagandang araw ng kanyang buhay, puno ng pagmamahal at atensyon"
zh-TW,Chinese (Traditional),這隻高齡母狗的家人送給牠生命中最後一個充滿愛與關懷的美好日子,這隻高齡母狗的家人，送給牠生命中最後一個充滿愛與關懷的美好日子
th,Thai,ครอบครัวของน้องหมาสูงวัยตัวนี้มอบวันสุดท้ายที่ดีที่สุดในชีวิตให้เธอ เต็มไปด้วยความรักและการดูแล,ครอบครัวของน้องหมาสูงวัยตัวนี้มอบวันสุดท้ายที่ดีที่สุดในชีวิตให้เธอ อบอวลด้วยความรักและการดูแล
tr,Turkish,Bu yaşlı dişi köpeğin ailesi ona sevgi ve ilgiyle dolu hayatının son en güzel gününü hediye etti,"Bu yaşlı dişi köpeğin ailesi, ona sevgi ve ilgiyle dolu hayatının en güzel son gününü hediye etti"
uk,Ukrainian,"Родина цієї старенької собачки подарувала їй останній найкращий день життя, сповнений любові та уваги","Родина цієї літньої собаки подарувала їй останній, найкращий день життя, сповнений любові та уваги"
vi,Vietnamese,"Gia đình của cô chó già này đã tặng cô ấy một ngày cuối cùng tuyệt vời nhất trong đời, tràn ngập tình yêu và sự quan tâm","Gia đình của cô chó già này đã dành tặng cho cô một ngày cuối cùng tuyệt vời nhất đời, tràn ngập tình yêu và sự chăm sóc"
